date,region,store,units,price,salesrep,endcap,demo,demo13,demo45,natural,fitness
5/4/2010,FL,Biscayne (aka Aventura),150.70209,4.3899999,0,0,0,0,0,1,0
5/11/2010,FL,Biscayne (aka Aventura),197.40379,3.9976923,0,0,0,0,0,1,0
5/18/2010,FL,Biscayne (aka Aventura),235.10617,3.8092308,0,0,0,0,0,1,0
5/25/2010,FL,Biscayne (aka Aventura),226.69243,3.835,0,0,0,0,0,1,0
6/1/2010,FL,Biscayne (aka Aventura),257.68814,3.9024999,0,0,0,0,0,1,0
6/8/2010,FL,Biscayne (aka Aventura),132.95718,4.4976921,0,0,0,0,0,1,0
6/15/2010,FL,Biscayne (aka Aventura),221.88997,4.1166668,0,0,0,0,0,1,0
6/22/2010,FL,Biscayne (aka Aventura),245.88136,4.1166668,0,0,0,0,0,1,0
6/29/2010,FL,Biscayne (aka Aventura),156.10254,4.1166668,0,0,0,0,0,4,0
7/6/2010,FL,Biscayne (aka Aventura),200.10397,3.7473333,0,0,0,0,0,1,0
7/13/2010,FL,Biscayne (aka Aventura),128.396,4.0124998,0,0,0,0,0,1,0
5/4/2010,FL,Boca Raton,142.77821,4.3899999,0,0,0,0,0,0,4
5/11/2010,FL,Boca Raton,237.54456,4.2354546,0,0,0,0,0,0,4
5/18/2010,FL,Boca Raton,141.53329,3.8092308,0,0,0,0,0,0,4
5/25/2010,FL,Boca Raton,158.07394,3.8092308,0,0,0,0,0,0,4
6/1/2010,FL,Boca Raton,255.11774,4.055625,0,0,0,0,0,0,4
6/8/2010,FL,Boca Raton,129.79362,4.3833332,0,0,0,0,0,0,4
6/15/2010,FL,Boca Raton,137.76428,4.3587499,0,0,0,0,0,0,4
6/22/2010,FL,Boca Raton,306.79382,4.3587499,0,0,0,0,0,0,4
6/29/2010,FL,Boca Raton,103.31902,4.3587499,0,0,0,0,0,0,4
7/6/2010,FL,Boca Raton,240.22517,4.0124998,0,0,0,0,0,0,4
7/13/2010,FL,Boca Raton,190.0248,4.0124998,0,0,0,0,0,0,4
5/4/2010,FL,Coral Gables,149.76787,4.5185714,0,0,0,0,0,2,1
5/11/2010,FL,Coral Gables,223.61276,3.72,0,0,0,0,0,2,1
5/18/2010,FL,Coral Gables,216.36969,3.7936363,0,0,0,0,0,2,1
5/25/2010,FL,Coral Gables,205.53494,3.904,0,0,0,0,0,2,1
6/1/2010,FL,Coral Gables,131.62653,4.0433335,0,0,0,0,0,2,1
6/8/2010,FL,Coral Gables,199.93391,4.4066668,0,1,0,0,0,2,1
6/15/2010,FL,Coral Gables,217.95189,4.3587499,0,1,0,0,0,2,1
6/22/2010,FL,Coral Gables,139.61353,4.3899999,0,1,0,0,0,2,1
6/29/2010,FL,Coral Gables,106.41656,4.5207691,0,1,0,0,0,2,1
7/6/2010,FL,Coral Gables,203.74321,3.9015384,0,1,0,0,0,2,1
7/13/2010,FL,Coral Gables,159.4337,4.1935716,0,0,0,0,0,2,1
5/4/2010,FL,Coral Springs,305.18329,4.4899998,0,0,0,0,1,1,1
5/11/2010,FL,Coral Springs,235.45711,4.4011111,0,0,0,0,1,1,1
5/18/2010,FL,Coral Springs,239.6949,3.8092308,0,0,0,0,0,1,1
5/25/2010,FL,Coral Springs,220.94679,4.0640001,0,0,0,0,0,1,1
6/1/2010,FL,Coral Springs,233.326,3.9578571,0,0,0,0,0,1,1
6/8/2010,FL,Coral Springs,143.7948,3.6900001,0,0,0,0,0,1,1
6/15/2010,FL,Coral Springs,192.92288,4.643846,0,0,0,0,0,1,1
6/22/2010,FL,Coral Springs,134.71292,4.3649998,0,0,0,0,0,1,1
6/29/2010,FL,Coral Springs,118.93893,4.643846,0,0,0,0,0,1,1
7/6/2010,FL,Coral Springs,206.22037,3.9015384,0,0,0,0,0,1,1
7/13/2010,FL,Coral Springs,149.38333,4.1016665,0,0,0,0,0,1,1
5/4/2010,FL,Fort Lauderdale,152.35028,4.3733335,0,0,0,0,0,3,2
5/11/2010,FL,Fort Lauderdale,118.76813,4.0366669,0,0,0,0,0,3,2
5/18/2010,FL,Fort Lauderdale,147.81766,3.8435714,0,0,0,0,0,3,2
5/25/2010,FL,Fort Lauderdale,199.09332,4.0553846,0,0,0,0,0,3,2
6/1/2010,FL,Fort Lauderdale,160.96977,3.8435714,0,0,0,0,0,3,2
6/8/2010,FL,Fort Lauderdale,204.55913,4.1042857,0,0,0,0,0,3,2
6/15/2010,FL,Fort Lauderdale,189.28983,4.1166668,0,0,0,0,0,3,2
6/22/2010,FL,Fort Lauderdale,177.42078,4.1042857,0,0,0,0,0,3,2
6/29/2010,FL,Fort Lauderdale,173.9913,4.1166668,0,0,0,0,0,3,2
7/6/2010,FL,Fort Lauderdale,141.86787,3.7085714,0,0,0,0,0,3,2
7/13/2010,FL,Fort Lauderdale,232.06235,3.7085714,0,0,0,0,0,3,2
5/4/2010,FL,Palm Beach Gardens,179.03076,4.5592308,0,0,0,0,0,1,4
5/11/2010,FL,Palm Beach Gardens,238.27528,4.2087498,0,0,0,0,0,1,4
5/18/2010,FL,Palm Beach Gardens,163.09534,4.055625,0,0,0,0,0,1,4
5/25/2010,FL,Palm Beach Gardens,239.57607,4.055625,0,0,0,0,0,1,4
6/1/2010,FL,Palm Beach Gardens,204.93451,4.055625,0,0,0,0,0,1,4
6/8/2010,FL,Palm Beach Gardens,156.40947,4.3833332,0,0,0,0,0,1,4
6/15/2010,FL,Palm Beach Gardens,242.68881,4.4699998,0,0,0,0,0,1,4
6/22/2010,FL,Palm Beach Gardens,239.1235,4.4699998,0,0,0,0,0,1,4
6/29/2010,FL,Palm Beach Gardens,199.0134,4.0983334,0,0,0,0,0,1,4
7/6/2010,FL,Palm Beach Gardens,107.13303,4.1935716,0,0,0,0,0,1,4
7/13/2010,FL,Palm Beach Gardens,241.64243,4.3714285,0,0,0,0,0,1,4
5/4/2010,FL,Plantation,201.31407,4.3899999,0,0,0,0,0,2,5
5/11/2010,FL,Plantation,132.29828,4.3899999,0,0,0,0,0,2,5
5/18/2010,FL,Plantation,165.5683,4.0127273,0,0,0,0,0,2,5
5/25/2010,FL,Plantation,191.6983,3.8092308,0,0,0,0,0,2,5
6/1/2010,FL,Plantation,182.7394,4.1466665,0,0,0,0,0,2,5
6/8/2010,FL,Plantation,209.09798,4.3587499,0,0,0,0,0,2,5
6/15/2010,FL,Plantation,239.34123,4.3587499,0,0,0,0,0,2,5
6/22/2010,FL,Plantation,137.8719,4.1166668,0,0,0,0,0,2,5
6/29/2010,FL,Plantation,238.40282,4.336154,0,0,0,0,0,2,5
7/6/2010,FL,Plantation,237.22507,4.0930767,0,0,0,0,0,2,5
7/13/2010,FL,Plantation,111.44654,4.0930767,0,0,0,0,0,2,5
5/4/2010,FL,Sarasota,128.69191,4.3899999,0,0,0,0,0,1,3
5/11/2010,FL,Sarasota,281.94864,4.3899999,0,0,0,0,0,1,3
5/18/2010,FL,Sarasota,197.53479,4.145,0,0,0,0,0,1,3
5/25/2010,FL,Sarasota,265.47861,4.2166667,0,1,0,0,0,1,3
6/1/2010,FL,Sarasota,230.48953,3.9578571,0,1,0,0,0,1,3
6/8/2010,FL,Sarasota,119.22866,4.1166668,0,1,0,0,0,1,3
6/15/2010,FL,Sarasota,172.05145,4.2185717,0,1,0,0,0,1,3
6/22/2010,FL,Sarasota,189.20587,4.5971427,0,1,0,0,0,1,3
6/29/2010,FL,Sarasota,222.53856,4.1042857,0,1,0,0,0,1,3
7/6/2010,FL,Sarasota,115.90131,3.9078572,0,0,0,0,0,1,3
7/13/2010,FL,Sarasota,177.09897,3.994,0,0,0,0,0,1,3
5/4/2010,MA,Annapolis,155.87296,3.9042857,0,0,0,0,0,1,1
5/11/2010,MA,Annapolis,193.51022,3.54,0,0,0,0,0,1,1
5/18/2010,MA,Annapolis,309.49466,3.4809091,0,0,0,0,0,1,1
5/25/2010,MA,Annapolis,254.92885,3.5983334,0,0,0,0,0,1,1
6/1/2010,MA,Annapolis,195.3084,3.4809091,0,0,0,0,0,1,1
6/8/2010,MA,Annapolis,267.93875,4.0566669,0,0,1,0,0,1,1
6/15/2010,MA,Annapolis,247.1301,4.0566669,0,0,0,1,0,1,1
6/22/2010,MA,Annapolis,299.34167,3.7145455,0,0,0,1,0,1,1
6/29/2010,MA,Annapolis,265.72153,4.04,0,0,0,1,0,1,1
7/6/2010,MA,Annapolis,259.04279,3.7116666,0,0,0,0,1,1,1
7/13/2010,MA,Annapolis,280.65768,3.7116666,0,0,0,0,1,1,1
5/4/2010,MA,Bethesda,138.23123,3.9400001,0,0,0,0,0,3,3
5/11/2010,MA,Bethesda,263.23886,3.5233333,0,0,0,0,0,3,3
5/18/2010,MA,Bethesda,119.96198,3.5471427,0,0,0,0,0,3,3
5/25/2010,MA,Bethesda,212.36198,3.4400001,0,0,0,0,0,3,3
6/1/2010,MA,Bethesda,167.08937,3.5471427,0,0,0,0,0,3,3
6/8/2010,MA,Bethesda,293.52182,3.5233333,0,1,1,0,0,3,3
6/15/2010,MA,Bethesda,207.82069,3.6275001,0,1,0,1,0,3,3
6/22/2010,MA,Bethesda,273.70825,3.6275001,0,1,0,1,0,3,3
6/29/2010,MA,Bethesda,252.25038,3.5233333,0,1,0,1,0,3,3
7/6/2010,MA,Bethesda,299.63568,3.19625,0,1,0,0,1,3,3
7/13/2010,MA,Bethesda,305.56784,3.19625,0,1,0,0,1,3,3
5/4/2010,MA,Cedar Center,170.70253,3.9042857,0,0,0,0,0,2,2
5/11/2010,MA,Cedar Center,115.688,3.9042857,0,0,0,0,0,2,2
5/18/2010,MA,Cedar Center,162.40569,3.6185715,0,0,0,0,0,2,2
5/25/2010,MA,Cedar Center,257.48776,3.7774999,0,0,0,0,0,2,2
6/1/2010,MA,Cedar Center,248.69066,3.7774999,0,0,0,0,0,2,2
6/8/2010,MA,Cedar Center,151.29341,3.7525001,0,0,0,0,0,2,2
6/15/2010,MA,Cedar Center,155.60504,3.9444444,0,0,0,0,0,2,2
6/22/2010,MA,Cedar Center,110.5602,3.8566666,0,0,0,0,0,2,2
6/29/2010,MA,Cedar Center,233.2592,3.9677777,0,0,0,0,0,2,2
7/6/2010,MA,Cedar Center,228.32504,3.4733334,0,0,0,0,0,2,2
7/13/2010,MA,Cedar Center,221.79105,3.4733334,0,0,0,0,0,2,2
5/4/2010,MA,Columbus,326.96442,4.1185713,0,0,0,0,1,0,4
5/11/2010,MA,Columbus,172.13602,4.1275001,0,0,0,0,1,0,4
5/18/2010,MA,Columbus,209.29898,3.6185715,0,0,0,0,0,0,4
5/25/2010,MA,Columbus,158.702,3.7562499,0,0,0,0,0,0,4
6/1/2010,MA,Columbus,203.48323,3.7774999,0,0,0,0,0,0,4
6/8/2010,MA,Columbus,183.09666,3.6344445,0,0,0,0,0,0,4
6/15/2010,MA,Columbus,162.39531,3.7525001,0,0,0,0,0,0,4
6/22/2010,MA,Columbus,372.16675,3.7354546,0,0,1,0,0,0,4
6/29/2010,MA,Columbus,389.75937,3.7354546,0,0,0,1,0,0,4
7/6/2010,MA,Columbus,302.68256,3.4949999,0,0,0,1,0,0,4
7/13/2010,MA,Columbus,301.89694,3.4949999,0,0,0,1,0,0,4
5/4/2010,MA,Fair Lakes,137.12077,3.9042857,0,0,0,0,0,3,1
5/11/2010,MA,Fair Lakes,184.9234,3.54,0,0,0,0,0,3,1
5/18/2010,MA,Fair Lakes,169.83557,3.3399999,0,0,0,0,0,3,1
5/25/2010,MA,Fair Lakes,219.35191,3.3399999,0,0,0,0,0,3,1
6/1/2010,MA,Fair Lakes,148.64037,3.3399999,0,0,0,0,0,3,1
6/8/2010,MA,Fair Lakes,292.90619,3.54,0,0,0,0,0,3,1
6/15/2010,MA,Fair Lakes,222.27631,3.54,0,0,0,0,0,3,1
6/22/2010,MA,Fair Lakes,148.14743,3.6344445,0,0,0,0,0,3,1
6/29/2010,MA,Fair Lakes,270.14188,3.7525001,0,0,0,0,0,3,1
7/6/2010,MA,Fair Lakes,194.17912,3.251111,0,0,0,0,0,3,1
7/13/2010,MA,Fair Lakes,170.53767,3.1259999,0,0,0,0,0,3,1
5/4/2010,MA,Georgetown,171.56587,3.6185715,0,0,0,0,0,2,0
5/11/2010,MA,Georgetown,227.65607,3.6185715,0,0,0,0,0,2,0
5/18/2010,MA,Georgetown,186.24847,3.3399999,0,0,0,0,0,2,0
5/25/2010,MA,Georgetown,235.94997,3.3566666,0,0,0,0,0,2,0
6/1/2010,MA,Georgetown,193.89606,3.3399999,0,0,0,0,0,2,0
6/8/2010,MA,Georgetown,293.98212,3.54,0,0,1,0,0,2,0
6/15/2010,MA,Georgetown,288.09686,3.54,0,0,0,1,0,2,0
6/22/2010,MA,Georgetown,220.34523,3.5233333,0,0,0,1,0,2,0
6/29/2010,MA,Georgetown,309.77609,3.6344445,0,0,0,1,0,2,0
7/6/2010,MA,Georgetown,252.82365,3.1259999,0,0,0,0,1,2,0
7/13/2010,MA,Georgetown,274.33209,3.19625,0,0,0,0,1,2,0
5/4/2010,MA,Jenkintown,221.17931,3.9042857,0,0,0,0,0,1,4
5/11/2010,MA,Jenkintown,213.02563,3.9042857,0,0,0,0,0,1,4
5/18/2010,MA,Jenkintown,239.81657,3.6185715,0,0,0,0,0,1,4
5/25/2010,MA,Jenkintown,230.57761,3.6185715,0,0,0,0,0,1,4
6/1/2010,MA,Jenkintown,192.07886,3.6185715,0,0,0,0,0,1,4
6/8/2010,MA,Jenkintown,241.41486,3.9042857,0,0,0,0,0,1,4
6/15/2010,MA,Jenkintown,129.92389,3.9042857,0,0,0,0,0,1,4
6/22/2010,MA,Jenkintown,186.57298,3.54,0,0,0,0,0,1,4
6/29/2010,MA,Jenkintown,349.81802,3.54,0,0,1,0,0,1,4
7/6/2010,MA,Jenkintown,285.29346,3.1259999,0,0,0,1,0,1,4
7/13/2010,MA,Jenkintown,272.73447,3.251111,0,0,0,1,0,1,4
5/4/2010,MA,Kentlands,133.16739,3.9042857,0,0,0,0,0,3,0
5/11/2010,MA,Kentlands,228.09061,3.54,0,0,0,0,0,3,0
5/18/2010,MA,Kentlands,169.67142,3.3399999,0,0,0,0,0,3,0
5/25/2010,MA,Kentlands,182.00034,3.5025001,0,0,0,0,0,3,0
6/1/2010,MA,Kentlands,249.75552,3.3399999,0,0,0,0,0,3,0
6/8/2010,MA,Kentlands,200.278,3.54,0,0,0,0,0,3,0
6/15/2010,MA,Kentlands,203.47504,3.54,0,0,1,0,0,3,0
6/22/2010,MA,Kentlands,344.80231,3.54,0,0,0,1,0,3,0
6/29/2010,MA,Kentlands,266.01852,3.6344445,0,0,0,1,0,3,0
7/6/2010,MA,Kentlands,299.90552,3.1259999,0,0,0,1,0,3,0
7/13/2010,MA,Kentlands,332.74298,3.0633333,0,0,0,0,1,3,0
5/4/2010,MA,Louisville,245.79504,3.9677777,0,0,0,0,0,4,2
5/11/2010,MA,Louisville,215.64612,4.0566669,0,0,0,0,0,4,2
5/18/2010,MA,Louisville,138.30679,3.5983334,0,0,0,0,0,4,2
5/25/2010,MA,Louisville,201.37416,3.5983334,0,0,0,0,0,4,2
6/1/2010,MA,Louisville,256.9859,3.5983334,0,0,0,0,0,4,2
6/8/2010,MA,Louisville,188.10437,4.0566669,0,0,0,0,0,4,2
6/15/2010,MA,Louisville,124.38985,4.0566669,0,0,0,0,0,4,2
6/22/2010,MA,Louisville,156.17407,3.7354546,0,0,0,0,0,4,2
6/29/2010,MA,Louisville,288.2326,4.0566669,0,0,0,0,0,4,2
7/6/2010,MA,Louisville,148.26601,3.7116666,0,0,0,0,0,4,2
7/13/2010,MA,Louisville,142.45749,3.7116666,0,0,0,0,0,4,2
5/4/2010,MA,Marlton,257.2803,3.7614286,0,0,0,0,0,3,0
5/11/2010,MA,Marlton,164.27594,3.5233333,0,0,0,0,0,3,0
5/18/2010,MA,Marlton,80.525116,3.3566666,0,0,0,0,0,3,0
5/25/2010,MA,Marlton,271.65775,3.3399999,0,0,0,0,0,3,0
6/1/2010,MA,Marlton,208.29025,3.4400001,0,0,0,0,0,3,0
6/8/2010,MA,Marlton,332.28146,3.511111,0,0,1,0,0,3,0
6/15/2010,MA,Marlton,314.4379,3.5233333,0,0,0,1,0,3,0
6/22/2010,MA,Marlton,305.09424,3.5233333,0,0,0,1,0,3,0
6/29/2010,MA,Marlton,224.28601,3.5233333,0,0,0,1,0,3,0
7/6/2010,MA,Marlton,215.47607,3.0633333,0,0,0,0,1,3,0
7/13/2010,MA,Marlton,322.69748,3.0633333,0,0,0,0,1,3,0
5/4/2010,MA,Mount Washington,237.71606,3.9042857,0,0,0,0,0,0,0
5/11/2010,MA,Mount Washington,149.31694,3.9042857,0,0,0,0,0,0,0
5/18/2010,MA,Mount Washington,103.89608,3.6185715,0,0,0,0,0,0,0
5/25/2010,MA,Mount Washington,141.209,3.6185715,0,0,0,0,0,0,0
6/1/2010,MA,Mount Washington,216.53256,3.6185715,0,0,0,0,0,0,0
6/8/2010,MA,Mount Washington,352.43027,3.9042857,0,0,1,0,0,0,0
6/15/2010,MA,Mount Washington,186.6678,3.9042857,0,0,0,1,0,0,0
6/22/2010,MA,Mount Washington,290.7796,3.9042857,0,0,0,1,0,0,0
6/29/2010,MA,Mount Washington,273.34372,3.9042857,0,0,0,1,0,0,0
7/6/2010,MA,Mount Washington,299.30554,3.6085715,0,0,0,0,1,0,0
7/13/2010,MA,Mount Washington,249.27425,3.6085715,0,0,0,0,1,0,0
5/4/2010,MA,Old Town,113.51073,3.9042857,0,0,0,0,0,1,4
5/11/2010,MA,Old Town,267.5314,3.54,0,0,0,0,0,1,4
5/18/2010,MA,Old Town,175.82855,3.3399999,0,0,0,0,0,1,4
5/25/2010,MA,Old Town,235.56757,3.4122221,0,0,0,0,0,1,4
6/1/2010,MA,Old Town,151.33727,3.3399999,0,0,0,0,0,1,4
6/8/2010,MA,Old Town,211.42325,3.6344445,0,0,0,0,0,1,4
6/15/2010,MA,Old Town,272.30203,3.54,0,0,0,0,0,1,4
6/22/2010,MA,Old Town,163.02528,3.54,0,0,0,0,0,1,4
6/29/2010,MA,Old Town,170.96248,3.54,0,0,0,0,0,1,4
7/6/2010,MA,Old Town,176.15169,3.1259999,0,0,0,0,0,1,4
7/13/2010,MA,Old Town,145.65044,3.1259999,0,0,0,0,0,1,4
5/4/2010,MA,P Street,136.57309,4.1275001,0,0,0,0,0,1,4
5/11/2010,MA,P Street,274.90948,3.54,0,0,0,0,0,1,4
5/18/2010,MA,P Street,201.68845,3.5983334,0,0,0,0,0,1,4
5/25/2010,MA,P Street,173.88828,3.5983334,0,0,0,0,0,1,4
6/1/2010,MA,P Street,253.95833,3.5983334,0,0,0,0,0,1,4
6/8/2010,MA,P Street,236.74915,4.0566669,0,0,0,0,0,1,4
6/15/2010,MA,P Street,269.81424,4.0566669,0,0,0,0,0,1,4
6/22/2010,MA,P Street,348.92557,4.0566669,0,0,1,0,0,1,4
6/29/2010,MA,P Street,243.0881,4.0566669,0,0,0,1,0,1,4
7/6/2010,MA,P Street,273.53226,3.7116666,0,0,0,1,0,1,4
7/13/2010,MA,P Street,286.31473,3.7116666,0,0,0,1,0,1,4
5/4/2010,MA,Philadelphia,156.631,3.9042857,0,0,0,0,0,4,2
5/11/2010,MA,Philadelphia,170.64444,3.6344445,0,0,0,0,0,4,2
5/18/2010,MA,Philadelphia,186.39774,3.3399999,0,0,0,0,0,4,2
5/25/2010,MA,Philadelphia,250.87648,3.4122221,0,0,0,0,0,4,2
6/1/2010,MA,Philadelphia,199.68929,3.4042857,0,0,0,0,0,4,2
6/8/2010,MA,Philadelphia,148.63493,3.9042857,0,0,0,0,0,4,2
6/15/2010,MA,Philadelphia,320.93991,3.9042857,0,0,0,0,0,4,2
6/22/2010,MA,Philadelphia,187.72749,3.9042857,0,0,0,0,0,4,2
6/29/2010,MA,Philadelphia,235.12672,3.9042857,0,0,0,0,0,4,2
7/6/2010,MA,Philadelphia,215.64349,3.6085715,0,0,0,0,0,4,2
7/13/2010,MA,Philadelphia,215.02603,3.6085715,0,0,0,0,0,4,2
5/4/2010,MA,Princeton,163.57884,4.1371427,0,0,0,0,0,0,3
5/11/2010,MA,Princeton,240.14284,3.74,0,0,0,0,0,0,3
5/18/2010,MA,Princeton,173.96436,3.6566668,0,0,0,0,0,0,3
5/25/2010,MA,Princeton,208.72592,3.3399999,0,0,0,0,0,0,3
6/1/2010,MA,Princeton,241.91299,3.4809091,0,0,0,0,0,0,3
6/8/2010,MA,Princeton,199.37256,3.7354546,0,0,0,0,0,0,3
6/15/2010,MA,Princeton,128.15942,3.7354546,0,0,0,0,0,0,3
6/22/2010,MA,Princeton,294.96158,3.7354546,0,0,1,0,0,0,3
6/29/2010,MA,Princeton,174.5903,3.829,0,0,0,1,0,0,3
7/6/2010,MA,Princeton,336.47345,3.3590908,0,0,0,1,0,0,3
7/13/2010,MA,Princeton,307.93997,3.3590908,0,0,0,1,0,0,3
5/4/2010,MA,Rockville,171.96582,3.9042857,0,0,0,0,0,1,4
5/11/2010,MA,Rockville,254.49796,3.9042857,0,0,0,0,0,1,4
5/18/2010,MA,Rockville,169.60365,3.3399999,0,0,0,0,0,1,4
5/25/2010,MA,Rockville,128.23627,3.3399999,0,0,0,0,0,1,4
6/1/2010,MA,Rockville,220.51863,3.3399999,0,0,0,0,0,1,4
6/8/2010,MA,Rockville,262.89154,3.54,0,0,0,0,0,1,4
6/15/2010,MA,Rockville,309.22055,3.54,0,0,0,0,0,1,4
6/22/2010,MA,Rockville,243.57384,3.54,0,0,1,0,0,1,4
6/29/2010,MA,Rockville,234.5343,3.54,0,0,0,1,0,1,4
7/6/2010,MA,Rockville,323.54788,3.1259999,0,0,0,1,0,1,4
7/13/2010,MA,Rockville,298.39008,3.1259999,0,0,0,1,0,1,4
5/4/2010,MA,Short Pump,202.6899,3.9042857,0,0,0,0,0,0,1
5/11/2010,MA,Short Pump,277.1521,3.9042857,0,0,0,0,0,0,1
5/18/2010,MA,Short Pump,184.94136,3.7774999,0,0,0,0,0,0,1
5/25/2010,MA,Short Pump,269.42856,3.6185715,0,0,0,0,0,0,1
6/1/2010,MA,Short Pump,226.95314,3.5025001,0,0,0,0,0,0,1
6/8/2010,MA,Short Pump,51.733292,3.9677777,0,0,0,0,0,0,1
6/15/2010,MA,Short Pump,215.30917,3.7525001,0,0,0,0,0,0,1
6/22/2010,MA,Short Pump,261.72052,3.8399999,0,0,0,0,0,0,1
6/29/2010,MA,Short Pump,196.7738,3.8399999,0,0,0,0,0,0,1
7/6/2010,MA,Short Pump,141.00012,3.3671429,0,0,0,0,0,0,1
7/13/2010,MA,Short Pump,201.60323,3.6611111,0,0,0,0,0,0,1
5/4/2010,MA,Tysons,185.37633,3.7525001,0,0,0,0,0,0,5
5/11/2010,MA,Tysons,220.86064,3.54,0,0,0,0,0,0,5
5/18/2010,MA,Tysons,180.13246,3.3399999,0,0,0,0,0,0,5
